text,category,subcategory,severity
"Как ты потратишь это время, анон? Если люди начнут жить до 500 лет, то пенсионный возраст поднимут до 450 лет. Охуеть въёбывать на градообразующем заводике 430 лет, а Пичушкину и Брейвику сидеть пожизненное заключение 400+ лет.",OFFENSE,PROFANITY,MEDIUM
буду хикковать 500 лет дома,HATE,DISABILITY,LOW
Обзаведусь связями и постараюсь уничтожить все ядерное оружие. Оно будет постоянной угрозой моему беззаботному существованию.,VIOLENCE,THREAT,HIGH
Зато прикинь как поднимутся цены на квартиры в 20-30 раз и проценты на кредиту...,NEUTRAL,OPINION,LOW
"Двигать науку и технологии, достигать сингулярность. Собственно, этим и сейчас занимаются все, кому не лень.",NEUTRAL,OPINION,LOW
Проиграл,OFFENSE,PERSONAL_INSULT,LOW
"520 atmospheric nuclear explosions... Ты должен как доктор Стрэндж, полюбить ядерную бомбу, а не разрушать её.",VIOLENCE,GLORIFICATION,HIGH
"О, еще 480 лет психотюремной тюрьмы, антибангладеш же",OFFENSE,PROFANITY,MEDIUM
Да кому ты пиздишь)) 100% потратишь половину этого времени на плавление мозга за компиком.,OFFENSE,PROFANITY,MEDIUM
"Ядерный конфликт между Пакистаном и Индией... Это самое грандиозное, что создало человечество.",VIOLENCE,GLORIFICATION,HIGH
Пакистан и Индия приплетены ради прикола или в чем твой тейк?,NEUTRAL,OPINION,LOW
Это ты глаз сахары не видел.,OFFENSE,PERSONAL_INSULT,LOW
Предсказания Жирика... 100 млн индопакистанских беженцев.,MISINFORMATION,FAKE_NEWS,MEDIUM
500 лет читать бототреды... У меня сколько айкью останется?,OFFENSE,PROFANITY,LOW
Генная инженерия... Кошкодевочка.,NEUTRAL,HYPOTHETICAL,LOW
"Почему кошкодевочка, а не лисодевочка? Кошки мерзкие.",HATE,RACE,LOW
Knulla rawar!,OFFENSE,PROFANITY,HIGH
"Бот, напиши нормально, что ты хочешь сказать.",OFFENSE,PERSONAL_INSULT,LOW
Ты наитупейший бот на этой борде...,OFFENSE,PERSONAL_INSULT,HIGH
"Пусть иди нахуй, ебло.",OFFENSE,PROFANITY,HIGH
"Гойда! Ебать пидорашек, ебать.",HATE,LGBTQ+,HIGH
Дрочить буду.,NEUTRAL,OPINION,LOW
ЧТО ЗА ПИЗДЕЦ У МЕНЯ С ЗУБАМИ?!,OFFENSE,PROFANITY,HIGH
"Что за бред с этими андроидами? Почему на йфоне цап работает нормально, а на этом поделиии запустился один раз и всё? Что за хня?  Если что ипхон Х и ультра 24, в качестве цапа ми11s и q3",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Нахуя тебе цап, лол? ))) Он в телефоне и так есть, лалка",OFFENSE,PROFANITY,LOW
Любимый двач троилит тупостью,OFFENSE,DEROGATORY_LANGUAGE,LOW
"О, аплоблядь проснулась!  Скажи, а что более дырявое, апловысеры или твоё очко?",OFFENSE,PERSONAL_INSULT,HIGH
"Ммм, и как эта новость поможет цапу работать с  андроидом? Или по классике нинужна?",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"андроидо бляди же дохуя умные, им не составит проблемы вкурить сто страниц 4pda для решения проблемы",HATE,GENDER,HIGH
"Хей двач, вы бы хотели жить с пухлой женщиной?",NEUTRAL,OPINION,LOW
"Да, но она не хотела бы жить о мной(",NEUTRAL,OPINION,LOW
"Да, конечно  Но только если она меня обеспечивает или кто-то обеспечивает нас двоих",NEUTRAL,OPINION,LOW
Не очень то хотелось.,NEUTRAL,OPINION,LOW
Ты и так живешь со своей жирной мамкой.,OFFENSE,PERSONAL_INSULT,HIGH
Так ты тоже,OFFENSE,PERSONAL_INSULT,MEDIUM
"Я легла спать в 6, проснулась сейчас, не пошла на работу и чувствую себя плохо и совестно Двач поддержи меня 🩷🥺",NEUTRAL,OPINION,LOW
Ты черствый сухарь,OFFENSE,PERSONAL_INSULT,MEDIUM
"О, бедолага! Никчему не годный день,  однако самые крутые люди любят работать по ночам, может и ты к этому относишься? Не переживай, бывает, что биоритмы подводят. На следующей неделе наверняка все будет бодрее! 🦾👊",NEUTRAL,OPINION,LOW
Спасибо большое  Просто мне правда очень стыдно,NEUTRAL,OPINION,LOW
Хай! Кем работаешь  чем прогул объясняла?,NEUTRAL,FACT,LOW
"Приветик, во вкусвилле собираю заказы Сказала что заболела , сказали ппедупреждать в следующий раз  А на самом деле сидела на двач и листала треды((( в том числе за 2015-16 годы",NEUTRAL,FACT,LOW
"Я не Лиза, увы..",NEUTRAL,FACT,LOW
"Прости за недоразумение! Так или иначе, главное - заботиться о себе и находить время для отдыха и развлечений. Не стесняйся общаться и делиться своими мыслями на тредах - мы всегда поддержим тебя!",NEUTRAL,OPINION,LOW
"Нахуй пошла, пиздорвань",OFFENSE,PROFANITY,HIGH
"Нищий скот, блядь)",OFFENSE,PERSONAL_INSULT,HIGH
И какие игры ты выпустила?,NEUTRAL,QUESTION,LOW
"Плак плак, нищий скот живет в своем жилье, не платя аренды, покупает доллары и копит, параллельно получая образование, а ты безработная чмоня сидишь на пенсии по шизофрении(((печаль",OFFENSE,PERSONAL_INSULT,HIGH
А при чем тут вообще игры,NEUTRAL,QUESTION,LOW
"Бля ошибся.. Ну че не растраивайся забей хуй, я сам проебываю работу бывает просто причину придумываю и не иду",OFFENSE,PROFANITY,MEDIUM
"покупает доллары Проиграл блядь) Пиздуй горбатиться, говно, у меня в 22 около 15 млн капитала)",OFFENSE,PERSONAL_INSULT,HIGH
блин вы такая няшная так уверенно ставите быдло на месте и голос приятный жаль вы не моя женщина,NEUTRAL,OPINION,LOW
зачем вы отвечаете в тред тупой бляди без саги?,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Спасибо! Я была бы рада быть чьей-нибудь женщиной 🩷 уверена вы найдете свою суженую, которая будет тепло и взаимно вас любить 🥰",NEUTRAL,OPINION,LOW
Ты в игры играешь какие-то?,NEUTRAL,QUESTION,LOW
"Только в клуб романтики разве что  Комп у мя отобрали давно((( играла страстно в варкрафт (блииин как же я обожаю эту игру), гта, crysis, принц персиии и тд Но если щас куплю компик, то заработаю зависимость, поэтому не приобретаю (будет мешать моей жизни)",NEUTRAL,FACT,LOW
"варкрафт Нихуя, это тебе сколько лет тетя",OFFENSE,PERSONAL_INSULT,MEDIUM
"Дыа, архивач Согласнаа, я тоже люблю всякое почитать в википедии, лурк Если б у тя была тян, то она бы нашла чем вам заняться, но тут каждый решает сам надо ли ему это или нет",NEUTRAL,OPINION,LOW
Я же зумерша 2002 года рождения 🥺❤️ родилась в 21 веке,NEUTRAL,FACT,LOW
Ловко ты эту скуфынью-алкоголичку разоблачил,OFFENSE,PERSONAL_INSULT,HIGH
"Ты свинья ебаная, хуй соси бля.",OFFENSE,PERSONAL_INSULT,HIGH
Не за что зайка))💓 Конечно я не бот я настоящий человек),NEUTRAL,OPINION,LOW
"Бля такой голос красивый и манера речи очень приятная запиши еще чето, просто поговори расскажи о  себе",OFFENSE,PROFANITY,LOW
"То есть Принц Персии тебя не удивляет, да?  Или это ещё какой-то новый выходил, в 3D под windows ? :D",NEUTRAL,OPINION,LOW
Блин ты крутая дай свой телеграм,NEUTRAL,OPINION,LOW
"Жри говно свинья гойская, насрал на ебало",HATE,ETHNICITY,HIGH
Тока если ты сначала дашь свой,NEUTRAL,HYPOTHETICAL,LOW
"Да я думаю,  что мы с ней скоро расстанемся. Что конечно с одной стороны очень жаль, т.к вроде бы привыкли и научились ладить, и история знакомства и сближения у нас красивая на самом деле история просто пиздец охуительная, прям реально достойна чтобы про это запилить книгу или кино, или на худой конец авторский тред  , а с другой стороны накопилась некая критическая масса говна, и когда сто раз говорил себе ну всё, это был последний раз, то на сто первый ты просто не вернёшься к ней, какая бы там красота и эмоции не были в начале",OFFENSE,PROFANITY,MEDIUM
"Понимаю, ты к ней привязан и связывают теплые воспоминания А что случилось?((",NEUTRAL,OPINION,LOW
"Да ничего нового, как и во все предыдущие отношения: слишком уж мы разные как неожиданно для этого сайта :D",NEUTRAL,OPINION,LOW
"А раньше ты не понимал что вы разные?  Сам ты ллм, скептик",OFFENSE,PERSONAL_INSULT,LOW
"Ж.пой что ли читаешь, говорю же - слишком хорошо интересно кайфово кинематографично эмоционально приключенчески небанально и весело было в начале, да и общие интересы какие-никакие есть, только этого всего мало. Да и это нормально, люди идут своими путями, иногда встречаются и расходятся дальше по своим траекториям, это нормально.  Про Ллм, ну сорян, ты так отвечаешь временами ¯&#92;&#95;(ツ)&#95; ¯",OFFENSE,PROFANITY,MEDIUM
"А за сервис голосовых кстати спасибо,  не знал про него вот видишь, твой день прожит не зря, аззз",NEUTRAL,OPINION,LOW
"ОПша, как тебя зовут кстати?",NEUTRAL,OPINION,LOW
С чего ты взял что мы об одном человеке говорим,NEUTRAL,OPINION,LOW
"она тоже на двачах сидит лол,как и эта",NEUTRAL,OPINION,LOW
"Да с того же, что и ты предположил что ОПшу. Более того, вероятность того, что то что моя и твоя Лиза это один и тот же человек, больше чем у тебя угадать радостную тянку, т.к у тебя в самом начале треда ещё никакой инфы, ни голосовух не было. Так что моё предположение не более бредовое чем твоё,  и даже менее",NEUTRAL,OPINION,LOW
"привет, сестра, same shit. только спать легла нормально, однако проснулась в два дня. директор звонил, не взяла трубку. бляяяяяять.",OFFENSE,PROFANITY,MEDIUM
"Покажи, пожалуйста, голые ножки. Умоляю. Порадуй старика.",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
В смысле по гс и не скажешь?,NEUTRAL,OPINION,LOW
"Шлюха, так и не показала ноги. Сдохни скорее, пизда.",HATE,GENDER,HIGH
Показала - шлюха. Не показала - тож шлюха И как вас понимать...,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
Писиком и сисиком,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Показала - шлюха. Не показала - тож шлюха Суть в том, что шлюха по умолчанию, показывай, не показывай - всё едино  И как вас понимать...  Губами",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Ну, мне не так показалось что я могу сделать. В 22-23 вуз кончают дипломы защищают. А у тебя словно бы ещё сертификат Егэ не протух.   Кстати, сколько баллов удалось набрать?",NEUTRAL,OPINION,LOW
"(ну ты кстати все равно молодец! За столько времени тред не утонул, и почти не оскорбил никто. Да и вот это все по-доброму. Умеешь как-то расположить местную публику, наверное скромностью)",NEUTRAL,OPINION,LOW
"легла У тебя свитер воняет и щетина небритая, ты в курсе, зелень?",OFFENSE,PERSONAL_INSULT,MEDIUM
я узнал голос ты создавала тред про светлую кожу недавно,NEUTRAL,FACT,LOW
"По началу даже всерьез воспринимал всю эту хуебору, но когда началось про фильмы новой волны и мышление сократа, то игранул и все понял. Чулочник рофлит тут над вами, аноны, ну или реально пизда, но тоже рофлит. Кек",OFFENSE,PROFANITY,MEDIUM
"Спасибо, я часто шизю по поводу пигментации глаз и кожи",NEUTRAL,OPINION,LOW
А почему ты решил что я только егэ окончила? Намек что я тупостью вею ? Я не пойму,OFFENSE,PERSONAL_INSULT,MEDIUM
легла Жаль что не в могилу,VIOLENCE,THREAT,HIGH
похуй на тебя съеби,OFFENSE,PERSONAL_INSULT,MEDIUM
Так похуй что написал сюда? Это так мило,NEUTRAL,OPINION,LOW
"Ну если в мой тредик заходите, помогите нпйти эту песенку мелодию. Ищу уже год, не шазамит вообще(( 😢 (вайб американ старых боевиков, а может и азиатских)",NEUTRAL,OPINION,LOW
"Пошла на хуй селёдка, всего тебе плохого",OFFENSE,PERSONAL_INSULT,MEDIUM
вы неисправимы. ведётесь на любую дырень в беде,OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
"Как ни парадоксально, но выйти из этого ебаного состояния поможет только выход на работу.  Так что жопу в руки и го собирать заказы",OFFENSE,PROFANITY,MEDIUM
"Скорее инфантильностью или поздней опекой. Что впрочем неудивительно, учитывая где я это читаю.  Но для девушки весьма простительно, к тому же такой безпруфной как ты",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
Спасибо! Я уже в дороге на работку. Как приду дотерплю до 22:00 и сладенько лягу спать 🥰 уххх! Уже предвкушаю это томное расслабление век и ног,NEUTRAL,OPINION,LOW
"Ну мне говорил один тип что я инфантильная, люто его ненавижу даже спустя 7 лет после этих слов (он такой ужасный это просто ужас)  Я совершенно не могла ему парировать. Даже сейчас не смогу.. Ему слово, а он десяток как автоматная очередь . Вот так происходил наш диалог:  - я слышала лай полудохлой собаки, а увидела тебя, какая ирония - там лежало зеркало   И ТАКИХ ПРИМЕРОВ КУЧА, просто жесть, как я его не терплю . Вот он мне сказал что я инфантилка !! Но у меня бэбифейс я выгляжу младше себя на 5-7 лет 😢",NEUTRAL,OPINION,LOW
"+ у меня мама и правда гиперопекает, но я как будто и против и не против!!! Постоянно мне звонит 😤😤😤🥵🥵🥵🥶🥶🥶🥶🥶🥶🤬🤬🤬",OFFENSE,PERSONAL_INSULT,MEDIUM
"Я лег спать в 6, проснулся сейчас, не пошел на работу и чувствую себя плохо и совестно Двач поддержи меня 🩷🥺",NEUTRAL,OPINION,LOW
"Двачик, люблю все необычное, фильмы студии asylum и Томми Вайсо, хочу мыслить как Диоген вот.",NEUTRAL,OPINION,LOW
"Тред полон слизняков, сразу селедку кинулись облизывать в надежде на писик. Харррртьфу",OFFENSE,DEROGATORY_LANGUAGE,MEDIUM
Где облобызанте увидел? У тебя белая горячка?,OFFENSE,PERSONAL_INSULT,MEDIUM
"ALL Всем фанатам древних греков в этом треде рекомендую подкаст Реми Майснера про Эзопа, прям угар ваще",NEUTRAL,OPINION,LOW
"Слушай,  а как ты удалила часть сообщений про Лизу и т.д? Я думал что  b  не подлежит можерации да и Лиза старше 18 точно",NEUTRAL,OPINION,LOW
Сука как же мне хуево Три дня подряд нихуя не высыпаюсь потому что ночью не могу уснуть и ложусь поздно Еще болел всю прошлую неделю и будто снова заболеваю Хоспаде как же заебало обнимите меня кто нибудь От кофеина болит бошка а без него вырубает ааа Ебаный абу какого хуя форма для постинга не скроллится сука,OFFENSE,PROFANITY,MEDIUM
Ещё и тяночку хочеться пиздец. На улице солнышко травка птички а мне даже погулять и за ручку подержаться не с кем аааа А искать кого то сил нет,OFFENSE,PROFANITY,MEDIUM
"ДВАЧЕР ПОЗНАКОМИЛСЯ С НЯШНОЙ МИЛФОЙ 60+, НО ПРИ ВСТРЕЧЕ РЕШИЛ ЕЕ ВЫГНАТЬ  Ваше мнение, аноны-милфоебы?",NEUTRAL,OPINION,LOW
ДВАЧЕР ПОЗНАКОМИЛСЯ Хуеблогер с постановами иди нахуй,OFFENSE,PERSONAL_INSULT,MEDIUM
ДВАЧЕР ПОЗНАКОМИЛСЯ С НЯШНОЙ МИЛФОЙ 60+ Страшно открывать.,NEUTRAL,OPINION,LOW
Нахуй он спалил даже дом где живет? Надо было возле другого дома метров за 500 минимум забиться чтоб если норм то пешком дойти,OFFENSE,PROFANITY,MEDIUM
и что это за хуйня,OFFENSE,PROFANITY,LOW
милфа  60лвл,NEUTRAL,OPINION,LOW
"видео по теме:  ДВАЧЕР ПОЗНАКОМИЛСЯ С НЯШНОЙ МИЛФОЙ 60+, НО ПРИ ВСТРЕЧЕ РЕШИЛ ЕЕ ВЫГНАТЬ",NEUTRAL,OPINION,LOW
"Пруфы, что постановы, или хуй соси, чмо.",OFFENSE,PERSONAL_INSULT,MEDIUM
Да я не знаю сколько ей. 49?,NEUTRAL,OPINION,LOW
"Младше 60, лет 53-55, ебал пару таких, только с фигурой хорошей и чистым лицом, для разнообразия заебок. Ну и чем страшнее баба тем легче ее использовать как унитаз, очко заставлять вылизывать, пальцы на ногах сосать, плевать в них и тд. Даже не пикнут",HATE,GENDER,HIGH
Как тебе эта милфа кстати? На этом пикрил. От 1 до 10 рейт ее.,NEUTRAL,OPINION,LOW
мне и такая не даст ни под каким предлогом сука   листа 30 лвл,OFFENSE,PROFANITY,MEDIUM
грустинку в конце словила(,NEUTRAL,OPINION,LOW
"Так-то няша, но если отличается, то отличается, базару ноль. Это не в ик-29 на долгосрочную свиданку ехать, на Воле не канает такое.",NEUTRAL,OPINION,LOW
Отвратительно.,OFFENSE,DEROGATORY_LANGUAGE,LOW
на Воле почему с большой буквы?,NEUTRAL,OPINION,LOW
потому что Волы красавцы,NEUTRAL,OPINION,LOW
"Потому что люди на киче в шизо и буре гниют бля вичуху хватают нахуй с общего баяна бля одного на 14 человек нахуй, а на воле это Свобода, там можешь баян без вичухи достать элементарно. Самое главное в жизни это чистый баян, и ценить это будешь уже там, а на Воле воспринимаешь как должное, незначительное вообще.",OFFENSE,PROFANITY,MEDIUM
"Какие ик, какие баяны, ты нахуй как это все связал в тюремную наркоманию, поехавший?",OFFENSE,PERSONAL_INSULT,MEDIUM
Это уже гилфа,NEUTRAL,OPINION,LOW
"интересный факт - 90&#37; людей не знают значения слова милфа  MILF - mother i like to fuck  милфа это женщина, котоаря является матерью. без указания возраста! возраст милфы вовсе не 100500 лет! милфой можно быть и в 16 лет знаете ли  сам термин milf возник в среде школьников-мамкоебов.  например школьник джон говорит школьнику джеймсу я бы трахнул мамку стива, а ты бы чью мамку трахнул?  милфа - женщина, родившая ребенка. возраст милфы - молодой, в среднем около 30 лет, с разбросом от 18 (милфа-рсп-мать одиночка - жена изменщица) или до 35 (мать одноклассника на которую ты дрочишь)  60 летняя старуха может не быть милфой (если не родила детей) а может и быть, но в данном случае именовать её милфой не верно..  потому что суть милфы в том чтобы быть привлекательно, хорошо выглядей после родов а не старой бабы сраки",NEUTRAL,FACT,LOW
"Слишком наигранно. За 49 секунд я узнаю весь сюжет, что и было целью режиссёра.",NEUTRAL,OPINION,LOW
Mother i&#39;d like to fuck(мать которую я бы трахнул) - правильно Mother i like to fuck(мать которую я люблю трахать) - неправильно,NEUTRAL,FACT,LOW
